id,lesson_id,type,question,order,audio_src
1,13,SELECT,Artículo 7 La posesión de toda arma debe manifestarse ante la Secretaría para su inscripción en el,1,
2,13,SELECT,Artículo 8 Está prohibida la posesión y portación de las armas reservadas para el uso exclusivo de la,2,
3,13,SELECT,"Artículo 8 Bis La Secretaría tiene la atribución de otorgar, negar, suspender o cancelar los permisos de adquisición y licencias de portación de armas automáticas calibre",3,
4,13,SELECT,"Artículo 9 Está permitida la posesión de armas de fuego autorizadas por la Secretaría en el domicilio declarado por las personas físicas, para la",4,
5,13,SELECT,"Artículo 10 La Secretaría puede autorizar a las personas que practiquen tiro y cacería, e inscritas en un club, la posesión de hasta",5,
6,13,SELECT,Artículo 10 Bis La posesión de cartuchos correspondientes a las armas que pueden poseerse o portarse se limitará a las cantidades que se establecen en el,6,
7,13,SELECT,Artículo 11 Las,7,
8,13,SELECT,Artículo 11 Bis Se prohíbe a personas,8,
9,13,SELECT,"Artículo 11 Ter El Artículo 11 Ter prohíbe la posesión, transportación, uso o fabricación de instrumentos, accesorios o aditamentos para convertir armas semiautomáticas en automáticas, incluidos los de manufactura tridimensional, con",9,
10,13,SELECT,"Artículo 12 Para los efectos de esta Ley, son armas prohibidas las previstas en el",10,
11,14,SELECT,"Artículo 13 Se permiten las armas accionadas por gas, aire comprimido o pistón no superiores a los",11,
12,14,SELECT,"Artículo 14 El extravío, robo, destrucción, enajenación, aseguramiento o decomiso de un arma debe hacerse del conocimiento de la Secretaría, así como de la",12,
13,14,SELECT,Artículo 15 La posesión de armas en el domicilio para la seguridad y defensa legítima de sus moradores impone el deber de,13,
14,14,SELECT,"Artículo 16 Para los efectos del control de la posesión de armas, las personas físicas deben manifestar",14,
15,14,SELECT,Artículo 17 Toda persona que adquiera una o más armas está obligada a manifestarlo a la Secretaría en un término de,15,
16,14,SELECT,"Artículo 18 Los titulares de los organismos de seguridad pública y de Procuración de Justicia, de los organismos públicos que justifiquen la necesidad y las",16,
17,14,SELECT,"Artículo 19 La Secretaría tiene la facultad de determinar en cada caso, la cantidad y tipo de armas para tiro y cacería que pueden poseerse, transportarse y emplearse; y puede autorizar a las personas deportistas de cacería, con permisos, la adquisición de cartuchos con características especiales, específicamente los utilizados para",17,
18,14,SELECT,Artículo 20 Los clubes o asociaciones de personas deportistas de tiro y cacería debidamente constituidas deben registrarse en las Secretarías de Seguridad y Protección Ciudadana y de la,18,
19,14,SELECT,"Artículo 20 Bis La Secretaría puede autorizar a los clubes de tiro y a los organismos establecidos en el artículo 24 de esta Ley, el registro y empleo de un campo de tiro abierto o",19,
20,14,SELECT,"Artículo 21 Las personas físicas o morales, públicas o privadas pueden poseer colecciones o museos de armas antiguas o modernas, o de ambas, previo el",20,
21,15,SELECT,"Artículo 22 Los particulares que tengan colecciones de armas deben solicitar la autorización para la adquisición y posesión de nuevas armas destinadas al enriquecimiento de la colección o del museo, e inscribirlas. El incumplimiento de esta disposición dará lugar a la",21,
22,15,SELECT,"Artículo 23 Las armas que formen parte de una colección pueden enajenarse como tal, o por unidades, en los términos de las disposiciones de esta Ley y previo",22,
23,15,SELECT,Artículo 24 Para portar armas se requiere la,23,
24,15,SELECT,Artículo 25 Las licencias para la portación de armas son de dos tipos: Particulares (individuales y colectivas) y Oficiales Colectivas. Las licencias particulares individuales para personas físicas deben revalidarse cada,24,
25,15,SELECT,"Artículo 26 Para la expedición de licencias particulares para personas físicas, la Secretaría debe requerir, entre otros, que el interesado acredite la necesidad de portar armas por la naturaleza de su ocupación o empleo; las circunstancias especiales del lugar donde viva, o",25,
26,15,SELECT,Artículo 27 A los extranjeros sólo se les podrá autorizar la portación de armas cuando acrediten su calidad de,26,
27,15,SELECT,"Artículo 28 La Secretaría puede autorizar la portación temporal de armas a los servidores públicos extranjeros de migración o aduanas, debidamente acreditados ante el Gobierno Federal, con base en el principio de",27,
28,15,SELECT,"Artículo 28 Bis La Secretaría podrá otorgar permisos extraordinarios de ingreso y portación temporal de armas a las personas servidoras públicas extranjeras que acompañen como agentes de seguridad, en visitas oficiales, a Jefes de Estado, jefes de gobierno, ministros o equivalentes, y será la",28,
29,15,SELECT,"Artículo 29 En el caso de las instituciones policiales, la",29,
30,15,SELECT,"Artículo 30 La expedición, negación, suspensión y cancelación de las licencias de portación de armas; así como su registro, control y vigilancia, corresponde a la",30,
31,16,SELECT,"Artículo 30 Bis Una vez que las armas de una empresa de seguridad privada, cuya licencia particular colectiva haya sido cancelada, quedan en resguardo de la Secretaría, la empresa contará con",31,
32,16,SELECT,"Artículo 31 Las licencias de portación de armas son intransferibles. Se cancelarán, entre otros casos, cuando se porte un arma",32,
33,16,SELECT,Artículo 34 En las licencias de portación de armas se deben hacer constar los,33,
34,16,SELECT,Artículo 34 Bis El armamento y municiones correspondientes a una licencia oficial colectiva solo pueden emplearse en funciones de carácter oficial y de seguridad pública. Queda prohibido su uso en actividades de carácter privado tales como,34,
35,16,SELECT,Artículo 35 Las licencias autorizan exclusivamente la portación del arma,35,
36,16,SELECT,Artículo 36 Queda prohibido a los particulares asistir armados a asambleas deliberativas o a cualquier reunión cuyos resultados puedan ser obtenidos por la,36,
